ID,Description,Entry_ID,Antonym,Encyclopedic_Info,Media_IDs,Near_Synonym,Scientific_Name,Semantic_Domain,Synonym
SN000109,turn around (itr.),LX000047,,,,,,,
SN000110,here you are (said while giving someone something),LX000048,,,,,,,
SN000111,interjection uttered upon finding someone doing something wrong: aha! sprung! found you at it!,LX000048,,,,,,,
SN000112,thirst,ak,,,,,,,
SN000113,Tree species,LX000049,,,,,Syzygium sp,Plant,
SN000114,plant species,akaka-akaka,,,,,Rhodamnia sp.,Plant,
SN000115,be thirsty,LX000050,,,,,,,
SN000116,main tribe living at Bimadbn; in founding myth this tribe lived at the bottom of the palm,LX000051,,,,,,,
SN000117,change one's mind,LX000052,,,,,,,
SN000118,be curly,LX000053,,,,,,,
SN000119,finger oneself,LX000054,,,,,,,
SN000120,"poke finger up through floor to where one's girlfriend is lying, so she can sneak out for a tryst",LX000054,,,,,,,
SN000121,curly,LX000055,,,,,,,
SN000122,"persist, remain, be permanent, like water that remains even in the dry season",akes_1,,,,,,,
SN000123,permanent,akes_2,,,,,,,
SN000124,stand (of two),LX000056,,,,,,,
SN000125,be standing,akingr,,,,,,,
SN000126,"get stuck, attached, fastened up high",LX000057,,,,,,,
SN000127,be joined together,LX000057,,,,,,,
SN000128,"'double each other', become cowives through the levirate, in the sense of two women becoming co-wives though the action of a man marrying his late brother's wife",LX000057,,,,,,,
SN000129,plant species,LX000058,,,,,Lycopodium sp.,Plant,
SN000130,male personal name,LX000059,,,,,,,
SN000131,"lie down, sleep",akms,,,,,,,
SN000132,"swim (crawl, or dog-paddle style)",LX000060,,,,,,,
SN000133,"lay oneself down, be asleep",LX000061,,,,,,,
SN000134,"fall flat, fall and end up flat",LX000061,,,,,,,
SN000135,turn up unexpectedly,LX000062,,,,,,,
SN000136,be crippled,LX000063,,,,,,,
SN000137,crippled,LX000064,,,,,,,
SN000138,"chase each other, typically in courtship",LX000065,,,,,,,
SN000139,race each other,LX000066,,,,,,,
SN000140,burn (emphasising the material burning),LX000067,,,,,,,
SN000141,bamboo flute,ale,,,,,,Musical instrument,
SN000142,"place name, heading south from Bimadbn, a story place as one first enters the savannah",Ale_Kend_Watrs_Pap,,"S08.38'34.8"", E 142.03'14.0"", Elev. 26 m",,,,,
SN000143,run,LX000068,,,,,,,
SN000144,"be down, not have risen (moon)",LX000069,,,,,,,
SN000145,be immersed,LX000069,,,,,,,
SN000146,"run way, place where things run or flow to",alnz_pap,,,,,,,
SN000147,run,LX000070,,,,,,,
SN000148,"run away, be a fugitive",LX000070,,,,,,,
SN000149,flow,LX000070,,,,,,,
SN000150,"go along at a good pace, of anything moving by bipedal or bouncing locomotion (but not snakes, which enzas 'crawl')",LX000070,,,,,,,
SN000151,flow (river),LX000070,,,,,,,
SN000152,"be a wrinkle, be lined (of skin), shrivel up",LX000070,,,,,,,
SN000153,variant form of alénz (infinitive). Examples of this verb are listed there,alnzs,,,,,,,
SN000154,red wattles on cassowary's neck,alol,,,,,,Parts of a bird,nono
SN000155,swallow,LX000071,,,,,,,
SN000156,be missing,LX000072,,,,,,,
SN000157,miss out on,LX000072,,,,,,,
SN000158,banana variety,LX000073,,,,,,,
SN000159,mother,ama,,,,,,"Father, mother",
SN000160,"term of address for a woman who has children, regardless of one's relation to her",ama,,,,,,,
SN000161,mother's older sister,ama_kitong,,,,,,"Uncle, aunt",
SN000162,"'small mother', i.e. mother's younger sister",ama_toge,,,,,,"Uncle, aunt",
SN000163,"poor me, poor feller",amama,,,,,,,
SN000164,"eat too much, overeat",LX000074,,,,,,,
SN000165,"hang, be hanging",LX000075,,,,,,,
SN000166,(of vine) to climb a stick or tree,LX000076,,,,,,,
SN000167,get married,LX000077,,,,,,,
SN000168,get married,LX000078,,,,,,,
SN000169,another (whether of same or different type),LX000079,,,,,,,
SN000170,Next,LX000079,,,,,,,
SN000171,"Formative in negative pronominal expressions, which combine negative yao plus the relevant interrogative word: ӓmb ebep 'noone', ӓmb nen 'nothing', ӓmb serpap",LX000079,,,,,,,
SN000172,some,LX000079,,,,,,,
SN000173,who else,LX000080,,,,,,,
SN000174,no one,LX000081,,,,,,,
SN000175,nothing,LX000082,,,,,,,
SN000176,nowhere,LX000083,,,,,,,
SN000177,tomorrow,LX000084,,,,,,,
SN000178,the same,LX000085,,,,,,,
SN000179,"a week away: a week ago, or in one week",LX000086,,,,,,,
SN000180,nowhere,LX000087,,,,,,,
SN000181,"a month away: last month, next month",LX000088,,,,,,,
SN000182,last,LX000089,,,,,,,
SN000183,nowhere,LX000090,,,,,,,
SN000184,"for good, permanently, for ever",LX000091,,,,,,,
SN000185,plant species,ambanko,,,,,Syzygium sp.,Plant,
SN000186,plant species,ambanko,,"Long edible fruit, tree grows 2-3 m, flowers are white",,,Octomyrtus sp.,Plant,
SN000187,"someone; when combined with a noun can also translate English 'a'; anyone, someone; somebody",LX000092,,,,,,,
SN000188,female personal name,Ambo,,,,,,,
SN000189,diamond mullet,LX000093,,,,,,Fish,
SN000190,quarrel,LX000094,,,,,,,
SN000191,"altogether, each other",LX000095,,,,,,,
SN000192,one,LX000096,,,,,,,
SN000193,no way,LX000097,,,,,,,
SN000194,six,LX000098,,,,,,,
SN000195,one day away,LX000099,,,,,,,
SN000196,one each,LX000100,,,,,,,
SN000197,"void, vacuum, air pocket",LX000101,,,,,,,
SN000198,"a year away, either a year ago or in a year's time: last year, next year",LX000102,,,,,,,
SN000199,next year,LX000103,,,,,,,
SN000200,"for ever, once and for all",LX000104,,,,,,,
SN000201,mat,LX000105,,,,,,,
SN000202,finish edge of a mat,LX000106,,,,,,,
SN000203,sail,LX000107,,,,,,,
SN000204,sailing canoe,LX000108,,,,,,,
SN000205,Woman's name,LX000109,,,,,,,
SN000206,"mind, soul",LX000110,,,,,,,
SN000207,"thought, opinion",LX000110,,,,,,,
SN000208,thought,LX000110,,,,,,,
SN000209,"to be alert, mentally prepared",LX000111,,,,,,,
SN000210,mad,LX000112,,,,,,,
SN000211,"useful, and something which could be shared or lent out (cf. tikpba which implies more private usefulness)",LX000113,,,,tikpba,,,
SN000212,"covet, desire in one's private thoughts",LX000114,,,,,,,
SN000213,splash,LX000115,,,,,,,
SN000214,"shake, shake around (e.g. liquid in a bottle, or in someone's stomach)",LX000115,,,,,,,
SN000215,bird's wing,amni,,,,,,,
SN000216,plane,amni,,,,,,,
SN000217,birds nest,amni_gn,,,,,,,
SN000218,plane,amni_kitong,,,,,,,
SN000219,sero pattern like a bird's wing,amni_samb,,,,,,,
SN000220,acacia species,LX000116,,,,,Acacia auriculiformis,Plant,
SN000221,acacia species,LX000116,,"Called this because it's in the savannah. Leaves are a bit larger than gll, birds like to lick the juices",,,Acadia simsii,Plant,
SN000222,"wind around, climb (creeper, vine) by winding around",LX000117,,,,,,,
SN000223,lead,LX000118,,,,,,,
SN000224,breathe,LX000119,,,,,,,
SN000225,male personal name,Amto,,"Bearers: (a) father of Yosang Amto (b) Amto Or, son of Or Blba",,,,,
SN000226,become,LX000120,,,,,,,
SN000227,"be, remain",LX000120,,,,,,,
SN000228,male personal name,LX000121,,,,,,,
SN000229,sit down,amzs,,,,,,,
SN000230,chair,amzsmne_kitarakitara,,,,,,,
SN000231,"here, boy! (calling a dog)",LX000122,,,,,,,
SN000232,"pump, beat (e.g. heart)",anambes,,,,,,,
SN000233,(of fish) suck air on surface,anambes,,,,,,,
SN000234,"chew, eat something already bitten off, finish eating something",anambes,,,,,,,
SN000235,flicker,anambis,,,,,,,
SN000236,"smack ones lips, move ones tongue rapidly in and out as one eats nice food",anambis,,,,,,,
SN000237,"bounce, bounce off, drum on, ricochet on",LX000123,,,,,,,
SN000238,"take a potshot at, guessingly shoot at",LX000124,,,,,,,
SN000239,male personal name,Anari,,,,,,,
SN000240,older sibling: big brother or sister (younger sibling is nngn). Gender can be specified if necessary by adding the terms for 'boy' or 'girl',ane,,,,,,"Brother, sister",
SN000241,younger sister,ane_mleg,,,,,,"Brother, sister",
SN000242,"chew, bite with teeth",anembes,,,,,,,
SN000243,"strapped to back, strapped on shoulders",anga_tombengama,,,,,,,
SN000244,carrying on back,angaba,,,,,,,
SN000245,male personal name,Angae,,,,,,,
SN000246,"dance, singsing, song",angan,,,,,,,
SN000247,compose a song,LX000125,,,,,,,
SN000248,"sing, sing a song",LX000126,,,,,,,
SN000249,singsing place,angan_serpap,,,,,,,
SN000250,frill-necked lizard,angar,,Cf wŋgal IN sibidiri idi,,,,Lizards and goannas,
SN000251,return,LX000127,,,,,,,
SN000252,cut each other,LX000128,,,,,,,
SN000253,"rise, get up",ans_1,,,,,,,
SN000254,grow,ans_1,,,,,,,
SN000255,grow up,ans_1,,,,,,,
SN000256,"growth, height",ans_2,,,,,,,
SN000257,take off (e.g. plane),ans_3,,,,,,,
SN000258,plant species,LX000129,,,,,Garsinia assugu,Plant,
SN000259,growing,anser,,,,,,,
SN000260,male personal name (Kiwai language),Ansi,,Ansi Aemara is a bearer of this name; he is a Kiwai man from Bamu,,,,,
SN000261,get up,antas,,,,,,,
SN000262,"wash, bath, session of swimming and washing",anu,,,,,,,
SN000263,bathing place,anupap,,,,,,,
SN000264,Woman's brother's wife,anuri,,,,,,Related by marriage,
SN000265,Substitute exchange woman; woman offered as exchange substitute under certain conditions.,anuri,,,,,,,
SN000266,dream,LX000130,,,,,,,
SN000267,"dream, have a dream",LX000131,,,,,,,
SN000268,"paint oneself, daub oneself",anz,,,,,,,
SN000269,"lather oneself, wash oneself with soap",anz,,,,,,,
SN000270,knowledge,aonenga,,,,,,,
SN000271,"old lady, old woman",aosa,,,,,,,
SN000272,"title used in referring to older women, in combination with their given name",Aosa,,,,,,,
SN000273,"alternate name used in the mens house for ale, the sacred flute",aosa_bolo,,,,,,,
SN000274,"women, ladies",aosaaosa,,,,,,,
SN000275,be dishevelled eg from rolling around while lying on mat,aowangs,,,,,,,
SN000276,"display plumage, especially of mating bird of paradise",aowangs,,,,,,,
SN000277,respond to,aowangs,,,,,,,
SN000278,"lek, bird mating display area",aowangs_pap_1,,,,,,,
SN000279,"lek, display place, place where birds of paradise dance and display for each other",aowangs_pap_1,,,,,,,
SN000280,respond to (check meaning),aowangs_pap_2,,,,,,,
SN000281,learn,aowapaps,,,,,,,
SN000282,place name: another sago swamp near the hamlet of Mär,Apa_Qi,,,,,,,
SN000283,roof,LX000132,,,,,,,
SN000284,(in Bible translation): firmament,LX000132,,,,,,,
SN000285,roll,apaes,,,,,,,
SN000286,"separate, split up, split off, split into groups",apals,,,,,,,
SN000287,(of rain) fall,apams,,,,,,,
SN000288,"struggle, suffer, have a hard time",apanengs,,,,,,,
SN000289,"deflate, shrink",LX000133,,,,,,,
SN000290,"smash, break",LX000133,,,,,,,
SN000291,"stunted, runt, typically last one to come, e.g. of pumpkin that is too shrivelled to eat",LX000134,,,,,,,
SN000292,premature child,LX000135,,,,,,Birth,
SN000293,"start, with respect to someone or something",apaps,,,,,,,
SN000294,inner thigh,apar,,,,,,,
SN000295,"love-making position where the lovers sit facing each other, thigh to thigh",aparaparae,,,,,,,
SN000296,"separate, divorce, get divorced",aparm,,,,,,,
SN000297,break off by itself,aparm,,,,,,,
SN000298,"be under, be covered",aparngr,,,,,,,
SN000299,leak,aparng,,,,,,,
SN000300,split [intransitive],aparr,,,,,,,
SN000301,"(of sun) set, be dusk",aparr,,,,,,,
SN000302,"rip off and fall (e.g. sago, after it has got dry)",apars,,,,,,,
SN000303,"square up, be ready to fight",LX000136,,,,,,,
SN000304,"be sunny, shine",LX000137,,,,,,,
SN000305,warm oneself,LX000137,,,,,,,
SN000306,"burn, burn down",LX000137,,,,,,,
SN000307,"get up high, get on top, get into a high position perch",LX000138,,,,,,,
SN000308,"be loosely or spaciously in or inside, e.g. fruit in a bowl",LX000139,,,,,,,
SN000309,"get in between, come inside",LX000140,,,,,,,
SN000310,swear.word,LX000141,,,,,,,
SN000311,"swing, be swinging",LX000142,,,,,,,
SN000312,"swing, take a swing or punch",LX000142,,,,,,,
SN000313,bend over and open one's arse ready to be sodomised,LX000143,,,,,,,
SN000314,"fuck, have sex with",LX000144,,,,,,,
SN000315,burst,LX000145,,,,,,,
SN000316,(of foreskin) get pulled back,LX000146,,,,,,,
SN000317,be circumcised,LX000146,,,,,,,
SN000318,"'set', (of foreskin) permanently pulled back",LX000147,,,,,,,
SN000319,get.lost,LX000148,,,,,,,
SN000320,get lost,LX000149,,,,,,,
SN000321,"be stunted, remain as is without growing",LX000150,,,,,,,
SN000322,do the same old job all the time without finishing it,LX000150,,,,,,,
SN000323,"tell story, leak out a story, tell the truth",LX000151,,,,,,,
SN000324,"be filled, be full",aps_1,,,,,,,
SN000325,be fully grown,aps_1,,,,,,,
SN000326,"bear seed (of fully grown tree), bear fruit, reproduce by fruiting (as opposed to rӓbs reproduce by suckering)",aps_1,,,,,,,
SN000327,"step on, climb onto",aps_2,,,,,,,
SN000328,"fruit-bearing, of a plant",apser,,,,,,Growth of plants,
SN000329,"full, piled up",apsere,got_1,,,,,,
SN000330,again,aqa,,,,,,,
SN000331,still,aqa,,,,,,,
SN000332,again,aqakor,,,,,,,
SN000333,anything else?,LX000152,,,,,,,
SN000334,man,LX000153,,,,,,,
SN000335,person,LX000153,,,,,,,
SN000336,male,LX000153,,,,,,,
SN000337,husband,LX000153,,,,,,,
SN000338,"fellow, not necessarily human",LX000153,,,,,,,
SN000339,plant species,LX000154,,,,ymbonbymbon_saragawa,Hornstedtia sp.,Plant,
SN000340,areca species which does not bear fruit,LX000155,,,,,,Plant,
SN000341,bullroarer,LX000156,,,,,,,meyang
SN000342,plant species,LX000157,,,,LX000479,Polyalthia sp.,Plant,
SN000343,everyone,LX000158,,,,,,,
SN000344,everyone,LX000159,,,,,,,
SN000345,"killer, avenger",LX000160,,,,,,,
SN000347,"giant snake, with eyes like a person, khaki and red, strong in killing animals and human beings",LX000161,,"Said to grow up to 10 m long, lives in water and hollow trees. Doesn't like the smell of humans. Cries like a cassowary. If you step on the excreta of this snake, it will come to your bed at night. It won't every run away.",,,,Snake,
SN000348,good person,LX000162,,,,,,,
SN000349,tiger bee,LX000163,,,,,,,
SN000350,"man-hungry, always after men",LX000164,,,,,,,
SN000351,"men's house, initiation house where young males were secluded before being initiated as men",LX000165,,,,,,,
SN000352,"section, sometimes called 'moiety' in the anthropological literature. One of three large-scale exogamous groupings for purposes of marriage",LX000166,,,,,,,
SN000353,headhunter,LX000167,,,,,,,
SN000354,group of people,LX000168,,,,,,,
SN000355,sedge type,LX000169,,,,,Cyperaceae #3,"Grass, herb, vine",
SN000356,"banana variety, only eaten by men",LX000170,,,,,,,
SN000357,boy,LX000171,,,,,,,
SN000358,son (in possessive construction),LX000171,,,,,,"Son, daughter",
SN000359,type of honey,LX000172,,,,,,Insect,
SN000360,"sero pattern, basket-weaving pattern",arabae,,,,,,,
SN000361,break,LX000173,,,,,,,
SN000362,"breakable, liable to break",LX000174,,,,,,,
SN000363,look around,LX000175,,,,,,,
SN000364,look at (with allative suffix); look,LX000175,,,,,,,
SN000365,"look, appear",LX000175,,,,,,,
SN000366,look for (with dative suffix),LX000176,,,,,,,
SN000367,"sea, ocean",aragab,,,,,,,
SN000368,south,aragab,,,,,,,
SN000369,salt,aragab,,,,,,,
SN000370,"any salty water body, e.g. estuary",aragab,,,,,,,
SN000371,tide,aragab,,,,,,,
SN000372,mangrove species,aragab_beos,,,,,Aegiceras sp.,Plant,
SN000373,straw-necked ibis,aragab_bmb,,,4eb57c551184ddee79f1ddced3f64737,,Threskornis spinicollis,Bird,
SN000374,Pied heron,aragab_glao,,,a2268f2a0d758577c262a2387b86954b,,Egretta picata,Bird,
SN000375,hermit crab,LX000177,,,,,,Crustacean,
SN000376,black butcherbird,aragab_kakok,,,,,,"Universe, creation ; Bird",
SN000377,mangrove golden whistler,aragab_kanzar_amni,,,f26b8a7b25ff50b4d99446aa2d721d1e ; ff3914697b2827a59d155f60d21832ed,,Pachycephala melanura,,
SN000378,dugong,aragab_kiemb,,,,,,,dangan
SN000379,Far Eastern Curlew,LX000178,,,0142947c9d9d1095c534c40a5dbeb637,,Numenius madagascariensis,Bird,
SN000380,"Generic term for a variety of wader birds that make a squealing noise like a pig, including Greater Sand Plover and Mongolian (Lesser) Sand Plover",LX000178,,,,,"Charadrius leschenaultia, Charadrius mongolus",Bird,
SN000381,plant species,aragab_kinzerkinzer,,,,,Abrusia plectacterius,Plant,
SN000382,plant species,aragab_kpuk,,,,,Hibiscus tiliaceus,Plant,LX000691
SN000383,large-billed gerygone,aragab_nu_saen_dner_amni,,So-called because its call indicates that it's high tide or low tide,84dd32293a5f0d4eaecd49d4be3dd9a7,,Gerygone magnirostris,Bird,
SN000384,Pacific golden plover,aragab_sibibi,,,,,Pluvialis fulva,Bird,
SN000385,anchovy,aragab_wagib,,,,,,,
SN000386,"plant species, used as fan",LX000179,,,,,Acrosticum,Plant,
SN000387,collared imperial pigeon,aragab_wirkiki,,,,,Ducula mullerii,,
SN000388,estuary,aragab_yergb,,,,,,,
SN000389,male personal name,Aramang,,,,,,,
SN000390,try,LX000180,,,,,,,
SN000391,"become, get",LX000180,,,,,,,
SN000392,decide,LX000180,,,,,,,
SN000393,wonder whether,LX000180,,,,,,,
SN000394,purge oneself,LX000180,,,,,,,
SN000395,"land, alight",LX000181,,,,,,,
SN000396,shave (oneself / each other),LX000182,,,,,,,
SN000397,"pour down, run down",araros,,,,,,,
SN000398,"Large species of cicada, bigger than keser bondrere, mostly found along the coast",LX000183,,,,,,,
SN000399,"walk balancing, as when crossing a log bridge",arayas,,,,,,,
SN000400,move around,arayas,,,,,,,
SN000401,paddle oneself along,arayas,,,,,,,
SN000402,"(of woman) married, having a husband",LX000184,,,,,,,
SN000403,married woman,LX000185,,,,,,,
SN000404,"belonging to other people, not belonging to oneself",LX000186,,,,,,,
SN000405,"go for a walk, take a stroll, walk around, go around with",arengs,,,,,,,
SN000406,travel,arengs,,,,,,,
SN000408,take a photograph of oneself,LX000187,,,,,,,
SN000409,together,LX000188,,,,,,,
SN000410,"hang suspended (of two, or large plural)",LX000189,,,,,,,
SN000411,hang on a hook or rope,LX000190,,,,,,,
SN000412,wedge,argne,,,,,,,
SN000413,quarrel,LX000191,,,,,,,
SN000414,"climb, ascend, go/come up (with direction usually shown by prefix)",armb,,,,,,,
SN000415,tree climber,armbs-krars,,,,,,,
SN000416,fasten (oneself),LX000192,,,,,,,
SN000417,get stuck ; get stuck,LX000192,,,,,,,
SN000418,feel,LX000193,,,,,,,
SN000419,women's grass pubic covering,arngam,,,,,,,LX001012
SN000420,achilles tendon,LX000194,,,,,,,
SN000421,make a noise,LX000195,,,,,,,
SN000422,boil (intr.),LX000195,,,,,,,
SN000423,"smart, sting",LX000195,,,,,,,
SN000424,harvest,arns,,,,,,,
SN000425,"first fruit season, time of tasting first harvest",arns_yu,,,,,,,
SN000426,plant species,LX000196,,,,,Sedge sp.,Plant,
SN000427,"wilderness, uninhabited place",LX000197,,,,,,,
SN000428,plant species,LX000198,,"Name means 'rabis man'. If you don't ever succeed in growing yams, you can make a spell at the base of this tree.",,,Polycias sp.,,
SN000429,plant species,LX000199,,,,,Polycias sp.,Plant,
SN000430,Acacia mangium,arqan,,"Twigs from this are beaten, spit is added to form a type of sap, and this is used to sterilize an open cut. Used as a rope for tying fences and rafters; the dry bark can be cooked and gives good fire for cooking yams, also to give ash that is mixed with mnzär and used as salt.",cfe103e004c022343f0d7431095dcaa0 ; 0deefe6ac03ba8a0adeade923eead36d ; 40f0d0f4bd269fe62534b7c6a13860b6,,Acacia mangium,Plant,
SN000431,"place name in Seregu territory, between Mgbe and Bibi",Arqan_Kanga,,,,,,,
SN000432,hunt,LX000200,,,,,,,
SN000433,only men,LX000201,,,,,,,
SN000434,place name,LX000202,,,,,,,
SN000435,boy,LX000203,,,,,,,
SN000436,pull each other along,LX000204,,,,,,,enza_1
