ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Sense_IDs
XV000048,nqn,Ynd te nabrang̅ndn yna dmabende pip ps wakaest / wakaes.,,,I stopped myself from looking at that woman's body.,,,SN000033
XV000049,nqn,Ynd nabrang̅am,,,We got divorced (each other),,,SN000034
XV000050,nqn,Bm yna dmabba abrang̅smne yären.,,,You and that woman have got divorced.,,,SN000034
XV000051,nqn,Bӓ abrang̅smne yӓrén.,,,They got divorced.,,,SN000035
XV000052,nqn,Äbrengs!,,,Let's get ready!,,,SN000037
XV000053,nqn,Ynd kaetawa ylst äbrengst nopapndn.,,,"I'm getting ready to leave tomorrow, getting ready for tomorrow's journey.",,,SN000037
XV000054,nqn,Wén te näbrendanda.,,,The strut fits now (has been prepared).,,,SN000038
XV000055,nqn,"Bm nen ӓbréngsere nm? ẽ, ynd ӓbréngsmne wm.",,,"Are you ready? Yes, I'm ready.",,,SN000039
XV000056,nqn,Yna parwae pip äbrete npst ym.,,,This meat is easy to cut.,,,SN000041
XV000057,nqn,Kbrma!,,,Jump!,,,SN000044
XV000058,nqn,Ynd nbrmetan.,,,I am jumping.,,,SN000044
XV000059,nqn,Kae togetoge kbrmetat nuwat / yergbat.,,,Yesterday the children jumped into the water / into the river.,,,SN000044
XV000060,nqn,Ynd sombes kae yergb nuwat kbrmm.,,,Yesterday we two jumped into the river.,,,SN000044
XV000061,nqn,Ynd gbres nbrmandm.,,,We (many) jumped into the river.,,,SN000044
XV000062,nqn,Ynd sombes nbrmam.,,,We two jumped.,,,SN000044
XV000063,nqn,Ynd sombes ábrmst nopapam.,,,We two are beginning to jump.,,,SN000044
XV000064,nqn,Toge ábrmst nopapnda.,,,The two of them are starting to jump.,,,SN000044
XV000065,nqn,Téqli tande brbr yrgbat nbrmanda.,,,The frog jumped into the water because it was afraid of me.,,,SN000044
XV000066,nqn,Sérép tos kiektewan ábramser ym.,,,The mullet is a fish that jumps up high in torchlight. [check vocalism of ábramser],,,SN000044
XV000067,nqn,"Är ä yétérnda gs, kngbrmetang!",,,"He's taken the man, jump out!",,,SN000044
XV000068,nqn,Bä ygoban eleta nbrmanda.,,,He set off early in the morning for hunting.,,,SN000045
XV000069,nqn,Bӓ kkpat kae tӓngm ӓbӓtst.,,,They went to the garden to meet each other.,,,SN000046
XV000070,nqn,Bm gte bӓ kӓbӓtangand!,,,You two meet each other there!,,,SN000046
XV000071,nqn,Yna togetogeyaba ynd nӓbӓtwem ӓnd nndkpan.,,,We met with these children in the middle of the road.,,,SN000046
XV000072,nqn,Sama ynd bmba bӓ gӓbӓtangam?,,,When will we (two) meet?,,,SN000046
XV000073,nqn,Sama bӓ gӓbӓtngm.,,,When will we meet (pl.).,,,SN000046
XV000074,nqn,Ynd ymaba nӓbӓtangam endn.,,,We met each other on the road.,,,SN000046
XV000075,nqn,Ynd ymaba kӓbӓtam.,,,We met with him (ran into him).,,,SN000046
XV000076,nqn,Kiégte ärba yergban bä näbätamand. Yna är geyäm Mätmne däpi är yäm Yblämndn ewengr.,,,"They met the white man (for the first time) in the estuary. These people are strangers from Mät, who live in Yblämnd.",,,SN000046
XV000077,nqn,adadu wirmängs izers,,,juggling adadu berries,,,SN000047
XV000078,nqn,Ur kp yanzos nadarnda.,,,The bushfowl egg got broken.,,,SN000048
XV000079,nqn,Nu nnemne qar pérmbér adarsmne ym.,,,The rim of the cup is cracked.,,,SN000048
XV000080,nqn,Lampa glas o gadarnga.,,,The lamp glass might break.,,,SN000048
XV000081,nqn,"Band qép adarsmne ym, bene a gadarnga.",,,"The ground is cracked, a hole opened up.",,,SN000048
XV000082,nqn,"Ymabem de bä yémtawend, ade bm ebe nm?",,,"And they asked him, what then? (Lit. then they asked him, so who are you then?) John 1.20",,,SN000049
XV000083,nqn,ӓdr pip,,,real cane,,,SN000051
XV000084,nqn,Ynd kae bӓ adwae te ying̅ndn.,,,I saw him secretly yesterday.,,,SN000057
XV000085,nqn,Ymam mleg ybätnda wrng endn adwae.,,,He secretly met the girl on the forest path.,,,SN000057
XV000086,nqn,Yna dmab adwae zi ӓprst nopapnda.,,,This woman is going to tell the secret story.,,,SN000058
XV000087,nqn,Ynd adwae zi bä gbres ärbende qabrre détél.,,,I'm going to say the secret in front of everyone.,,,SN000058
XV000088,nqn,Sombes ӓrm kae sermban ӓmbsӓmbsae kap kopi kont.,,,Two men drank one cup of coffee each last night.,,,
XV000089,nqn,Sombes ӓrm kae sermban sombesombesae kopi kap kongont.,,,Yesterday evening two men drank two cups of coffee each.,,,
XV000090,nqn,Sombessombesae yondkapeta!,,,Take two (biscuits) each!,,,
XV000091,nqn,Ungisae zizi aba nowabtat.,,,They're standing around talking.,,,
XV000092,nqn,Amni naebnde.,,,A bird is flying.,,,SN000061 ; SN000215
XV000093,nqn,Amni naebndat.,,,Birds are flying.,,,SN000061
XV000094,nqn,Amni yawaebnde.,,,A whole lot of birds are flying.,,,SN000061
XV000095,nqn,Pramis aebyängst nopopand.,,,The plane is taking off.,,,SN000061
XV000096,nqn,Sombes amni naebyӓngt.,,,Two birds are flying.,,,SN000061
XV000097,nqn,Bm kaebnda!,,,You fly!,,,SN000061
XV000098,nqn,Bm kaebndang!,,,You fly (to many)!,,,SN000061
XV000099,nqn,Bm kaebyӓngeng!,,,You two fly (continue to fly)!,,,SN000061
XV000100,nqn,Kaebndangand!,,,You two fly (i.e. take off).,,,SN000061
XV000101,nqn,Ag tbrer!,,,Knock down the coconut! coconut husk coconut fronds,,,SN000065
XV000102,nqn,Ag sanan kamnz!,,,Sit on the coconut fronds!,,,SN000065 ; SN000229 ; SN003882
XV000103,nqn,Ynd ag qar nnorngdn Kokottkapeyan.,,,I left the coconut shell at Kokottkape.,,,SN000073
XV000104,nqn,Bimadbnmne togetoge ag wao saraba nnang̅tat.,,,The Bimadbn children are coming home with a bundle of coconuts.,,,SN000083 ; SN003934
XV000105,nqn,Toge nägärnde (~ nngägärngde).,,,The baby's turning over (~ is rolling along).,,,SN000093
XV000106,nqn,Yna toge nägärng̅da.,,,The baby has turned over.,,,SN000093
XV000107,nqn,Yna gägärng̅ngm mng̅t nngang̅tam.,,,There we'll turn around home.,,,SN000094
XV000108,nqn,Qabam kagalne! (check isn't qaban),,,"Rub yourself on the face, rub it on your face.",,,SN000095
XV000109,nqn,Kiemb áglast nopapnda.,,,The sow is going to give birth.,,,SN000096
XV000110,nqn,Bm kgla!,,,You give birth! (commanding a pregnant woman),,,SN000096
XV000111,nqn,Bä toge äglast nopapnda.,,,She's about to give birth to a child.,,,SN000096
XV000112,nqn,Dngaonglanga!,,,"Continue giving birth, multiply (to a whole family)!",,,SN000096
XV000113,nqn,Kiémb yngáogle.,,,The pigsare giving birth (CHECK doesn't mean the pig is giving birth to a whole litter).,,,SN000096
XV000114,nqn,Band kunzn wrebser wn kp bӓ yngaogle dene qabats denengama ymn.,,,GET TRANSLATION!,,,SN000096
XV000115,nqn,Bm dgan ggle?,,,Where were you born?,,,SN000097
XV000116,nqn,Yna sombes ӓr nӓgmt.,,,Those two men are fighting.,,,SN000098
XV000117,nqn,Bm ägms kabrang̅!,,,Stop fighting! (note this has singular subject),,,SN000098
XV000118,nqn,"Wrng arengsmne bémand ba wmn, wénan kngägmetan.",,,I've got a lot of wounds from where I kncocked myself against stick while walking around on the forest track.,,,SN000099
XV000119,nqn,Ägmser är tänm.,,,The warrios / enemies have arrived.,,,SN000102
XV000120,nqn,Ynd tande ägmser äräba kiwing̅m dég̅dég̅an wrng endn.,,,I accidentally met my enemy on a bush path.,,,SN000103
XV000121,nqn,Kagnna!,,,Wipe yourself dry!,,,SN000104
XV000122,nqn,Ynd nägnnan.,,,I'm wiping myself.,,,SN000105
XV000123,nqn,Ynd nägnänm.,,,The two of us are wiping ourselves.,,,SN000105
XV000124,nqn,Kemb mupi anzs powa wénan nägnne.,,,After the pig was in the mud it'll rub its body against a tree.,,,SN000105
XV000125,nqn,Bm anu kmbna znzn kägnna!,,,Have a bathe and then wipe the umd off yourself!,,,SN000106
XV000126,nqn,Bä ägnest nopapand mñtewan.,,,They are starting to kiss each other in love.,,,SN000107
XV000127,nqn,Binzawab Josepba yao kawakaewt sombes yég ynadbnan bä nägnt tikapngama.,,,"Binzawa and Joseph haven't seen each other for two years, and so they're hugging each other with happiness.",,,SN000107
XV000128,nqn,Zän ägrsn yären.,,,"The dogs are ""pumping"".",,,SN000108
XV000129,nqn,Ynd nӓgärndan.,,,I'm turning around.,,,SN000109
XV000130,nqn,Ynd ägärngst nopapndn.,,,I'm starting to turn around.,,,SN000109
XV000131,nqn,Ynd sombes nägärngm.,,,We two are turning.,,,SN000109
XV000132,nqn,"Ãhã, be bӓ nngaramtan.",,,"Here you are, I'm handing them over to you.",,,SN000110
XV000133,nqn,"Ãhã, ämbs bm tparma!",,,"(handing someone a bunch of bananas): here you are, break one off.",,,SN000110
XV000134,nqn,"Ãhã geyngm, be bä gnaramangn.",,,"Here they are, I'll give them to you.",,,SN000110
XV000135,nqn,"Bende ogyabsmne g̅énzér kp begta ynd naramtan, ãhã, geym.",,,"Here's the money for your work, OK, here it is is.",,,SN000110
XV000136,nqn,Akaka nnewer ym.,,,The fruit of the akaka syzygium are edible.,,,SN000113
XV000137,nqn,"Ynd akäm aba wramte, nu tba ynetan.",,,"I felt thirsty, and drank some water.",,,SN000115
XV000138,nqn,Zӓn akӓm yramte.,,,The dog is thirsty (its tongue is hanging out).,,,SN000115
XV000139,nqn,Ynd akӓm wramte.,,,My throat is dry.,,,SN000115
XV000140,nqn,sémi äkänsere toge,,,curly-tailed puppy,,,SN000121
XV000141,nqn,Yna gumb nakete.,,,"That pool remains, doesn't dry up.",,,SN000122
XV000142,nqn,Yna nu gumsge mái nakete.,,,That deep water is permanent.,,,SN000122
XV000143,nqn,Akes gumb ym.,,,It's a permanent pool.,,,SN000123
XV000144,nqn,Ynd ynakiaran tñbene papn.,,,The two of us are standing at the fence gate.,,,SN000124
XV000145,nqn,Grmbo a Liwd bӓ sombes yawakiaran tñbene papn.,,,Grmbo and Liwad are standing at the fence gate.,,,SN000124
XV000146,nqn,Señawa Emang baskol ba yakingr.,,,Señawa Emang is standing with his bicycle.,,,SN000125
XV000147,nqn,Ynd ynakingr togetogeyӓba Mӓr endn.,,,(In this picture) I'm standing with the boys on the road to Mӓr. (lit. we are standing),,,SN000125
XV000148,nqn,Ynd wakingr tñbene papn.,,,I am standing at the fence gate.,,,SN000125
XV000149,nqn,Näkinda.,,,It got stuck up high.,,,SN000126
XV000150,nqn,Ynd näkiyam.,,,The two of us are joined.,,,SN000127
XV000151,nqn,Sombes nänzi näkiyand.,,,The two bananas are joined at their base. (Sharing such twinned bananas creates a special bond between those who do this).,,,SN000127
XV000152,nqn,Ynd Dorinba näkiäm yam.,,,Doreen and I have become one.,,,SN000127
XV000153,nqn,Käkiand.,,,You two are doubling.,,,SN000128
XV000154,nqn,Anton a Sugi a Äkma toge bä yawakingr Nikende totr rämsmne nä qép tikp tond tane.,,,Anton and Sugi and young Äkma are standing in front of the toilet.,,,SN000130
XV000155,nqn,Kakma! Kakmand! Kakmang! Kemindang!,,,"You lie down to sleep (to one, two, several, many)!",,,SN000131
XV000156,nqn,Bӓ yrgban bgewi ӓkmst nopapnda widmat.,,,He's beginning to swim to the other side.,,,SN000132
XV000157,nqn,Zerus yrgban näkmete.,,,Zerus is swimming in the river.,,,SN000132
XV000158,nqn,Bm bgewi käkmetang Zeri yrgban!,,,You all swim across at Zeri!,,,SN000132
XV000159,nqn,Zimi kmangre äkmst nopapnda.,,,Jimmy is trying to sleep.,,,SN000133
XV000160,nqn,Te näkmanda.,,,He's already asleep.,,,SN000133
XV000161,nqn,Ynd kmangre gäkmangn.,,,I'm going to go to sleep.,,,SN000133
XV000162,nqn,Käkma! Käkmand! Käkmetang ~ käkmang! Kämindang!,,,Lie down (to one / two / a few / many)!,,,SN000133
XV000163,nqn,Gte kakmang Märn Songande sarng̅n.,,,"You sleep there at Mär, in Songa's yamhouse.",,,SN000133
XV000164,nqn,Kakmand!,,,Lie down (to two)!,,,SN000133
XV000165,nqn,Ynd yungama dlmtawm zég̅ de yna wén kape ynterwe bandat näkmawe.,,,We pulled the rope from down below and the branch fell down flat onto the ground.,,,SN000134
XV000166,nqn,"Anari äkñsere ym, enznewem yramte.",,,"Anari is crippled, he is sick.",,,SN000137
XV000167,nqn,Pan mok näkrmbärt.,,,Two olive-backed orioles are chasing each other.,,,SN000138
XV000168,nqn,Näkmbärt.,,,They (two) are racing each other.,,,SN000139
XV000169,nqn,Bnz ӓkrӓrse nebnda.,,,The fire has finished burning.,,,SN000140
XV000170,nqn,Sombes bnz sn nӓkrärt.,,,Two pieces of charcoal are burning.,,,SN000140
XV000171,nqn,Tӓrbӓr bnz sn yӓwӓkrne.,,,Two pieces of charcoal are burning.,,,SN000140
XV000172,nqn,Bnz näkrne g̅ayag serpapn.,,,A fire is burning in the garden place.,,,SN000140
XV000173,nqn,Samba gbres nӓkrne.,,,The whole village is burning.,,,SN000140 ; SN003868
XV000174,nqn,Samba gbres te käkrne bnzn.,,,The whole village was burnt down in a fire.,,,SN000140
XV000175,nqn,Ynd tnakatan äkrärsmne samba rokar gbres mng̅bas.,,,"As I was passing, I saw the whole village was burned down; including all the houses.",,,SN000140
XV000176,nqn,"Sémbanäm ä yznat gs, gs ä nlinti, mnene sémban yna yngm.",,,"Ants are biting him there, there he is running, because there are lots of ants.",,,SN000143
XV000177,nqn,Srare mái yaletngr.,,,The moon is still down / hasn't risen yet.,,,SN000144
XV000178,nqn,Yaletngr nuwan.,,,It's immersed in the water.,,,SN000145
XV000179,nqn,Ynd nnglintan.,,,I'm running.,,,SN000147
XV000180,nqn,Ynd alnzt / alnzst nopapndn.,,,I'm about to run.,,,SN000147
XV000181,nqn,Ynd sombes nlinzm.,,,We two are running.,,,SN000147
XV000182,nqn,Toge nnlinti.,,,The child is running this way.,,,SN000147
XV000183,nqn,Ynd gtets aba nlintan Dimsisi sambat.,,,I ran all the way to Dimsisi village.,,,SN000147
XV000184,nqn,Bä rrkeba nlinti yérsama.,,,You're running making a swishing noise through the grass.,,,SN000147
XV000185,nqn,Bm prende knglinta!,,,You run on ahead!,,,SN000147
XV000186,nqn,Ynd nlintam.,,,We (more than two) are running.,,,SN000147
XV000187,nqn,Bm má kélnzéng!,,,You keep running!,,,SN000147
XV000188,nqn,Alnzs bä ym!,,,Let's run!,,,SN000147
XV000189,nqn,Ynd bä nlintan.,,,I will run.,,,SN000147
XV000190,nqn,Yawalinti!,,,They (many) are running!,,,SN000147
XV000191,nqn,"Awe, alnz!",,,"Come on, ready to run!",,,SN000147
XV000192,nqn,Ynd alnzst / alnzt nopapndn.,,,"I'm about to run. (some people say alnzst, some alnzt)",,,SN000147
XV000193,nqn,Ynd alnzsn wm.,,,I'm on the run (like an animal).,,,SN000148
XV000194,nqn,Yergb nnglinti dbntane.,,,The river flows towards the mouth.,,,SN000149 ; SN001087
XV000195,nqn,Qab gane nalnze,,,He's getting wrinkles on his forehead,,,SN000150
XV000196,nqn,Pip nalnze.,,,His body is shrivelling up.,,,SN000152
XV000197,nqn,Ynd nlendn parwae pip.,,,I swallow the meat.,,,SN000155 ; SN003306
XV000198,nqn,Moramora kle!,,,Swallow the medicine!,,,SN000155 ; SN002759
XV000199,nqn,Ymam nlenda parwae pip.,,,He swallowed the meat.,,,SN000155
XV000200,nqn,Nne taneta a kle!,,,Eat the food and swallow it!,,,SN000155
XV000201,nqn,Kitong wagib bä glenga wtkowäm.,,,Big fish are swalloed by the pelican.,,,SN000155
XV000202,nqn,"Tande dmab yna yao ym, bäs nälte.",,,"My wife isn't here, she's the only who is missing.",,,SN000156
XV000203,nqn,"O, má Niks kälte parwae pip yao yaramandm yagta.",,,"Oh, only Nick missed out on the wallaby meat, we didn't give any to him.",,,SN000157
XV000204,nqn,"Ynd ge wm, ynds kältan.",,,"Here I am, I'm the only one who missed out.",,,SN000157
XV000205,nqn,"Bӓ yadma ym, bӓ yande toge ym.",,,"That's the mother, this one's the child.",,,SN000159
XV000206,nqn,"Bӓ tande ama ym, ynd yande toge wm.",,,"She is my mother, and I am her child.",,,SN000159 ; SN004573
XV000207,nqn,bende ama,,,your mother,,,SN000159
XV000208,nqn,Dpsawm g̅nzär amabem dteyawt posast yta m mnegta yapamwend g̅énzerta.,,,"We singed it, and the mothers heaped up firewood to make an oven to singe the hair.",,,SN000159
XV000209,nqn,"Oo, är napanende geym te yakatat amama yao ym yta kone wimbei baba yramte.",,,"Ooh, he's having a hard time, oh no, it's not working, he's trying to put his armpit sweat on him.",,,SN000163
XV000210,nqn,"Sikma yao nängämängna, o bene kadar!",,,"Don't eat too much, or you'll get diarrhoea!",,,SN000164
XV000211,nqn,Tande yép mng̅ kunzn plpl pedan yamangr.,,,"My bag is hanging inside the house, on the end of the rafter.",,,SN000165
XV000212,nqn,Selemi tqn zég̅an yamangr.,,,The clothes are hanging up from the ceiling of the house.,,,SN000165
XV000213,nqn,Wén mänz nämne ziwilan.,,,The vine climbs up the milkwood tree.,,,SN000166
XV000214,nqn,Yna sombes bä mñte yären geä gämasangand.,,,The two of them want to get married.,,,SN000168
XV000215,nqn,Biyaga a Bago ämäsäsmne yären.,,,Biyaga and Bago are married.,,,SN000168
XV000216,nqn,"Yna togetoge yao ynama áglasmne yngm, ynama ämäsäsmne yam, o ynama ärbende ämkp gs yngm, togetoge wépänst, yao ynama, bandmne dedande waprs yamma, yao pap, e dene Godende kunzma áglasmne togetoge yngm.",,,"Which were born, not of blood, nor of the will of the flesh, nor of the will of man, but of God.",,,SN000168
XV000217,nqn,Bm kämäsangand dmabta!,,,You two marry each other!,,,SN000168
XV000218,nqn,Komasa!,,,You two get married!,,,SN000168
XV000219,nqn,"Ynd sombes geä kitong gämtam, ynd bä gämäsangam.",,,"When we two grow up, we will get married.",,,SN000168
XV000220,nqn,Bä te nambt yna ygn nämäsängand.,,,They two got married last year.,,,SN000168
XV000221,nqn,Ynd tende nämäsanganzm naentineitisevenan.,,,We got married in 1987.,,,SN000168
XV000222,nqn,Ämb ogyabs nebnda.,,,Another job is finished.,,,SN000169
XV000223,nqn,"Buder, ämb paept yls.",,,"Friend, let's go to another place.",,,SN000169
XV000224,nqn,Yao! Ämb ym.,,,(Following a false identification of a bird): No! It's another one.,,,SN000169
XV000225,nqn,Ämbat aqa ynngm! ~ Ämb mng̅t aqa ynngm!,,,Let's go on to the next house!,,,SN000169
XV000226,nqn,Mok ämb qabat ke notne.,,,The mok bird is calling out with a dfferent cry.,,,SN000169
XV000227,nqn,Ämb!,,,Next!,,,SN000170
XV000228,nqn,Bmbem nen yna yaprt? Yndbem yao ӓmb nen yaprm.,,,What are you two doing there? We are doing nothing.,,,SN000171 ; SN002949
XV000229,nqn,Ämb ebep yna yao ym.,,,There is noone here.,,,SN000171
XV000230,nqn,"Ämb yao ym, bӓte nebnda.",,,"There aren't any more (names), they're already finished.",,,SN000171 ; SN000661
XV000231,nqn,Bm ämb taple!,,,You put some in (i.e. put some ground coffee in your cup)!,,,SN000172
XV000232,nqn,Ämb ebe dnzron?,,,Who else was it?,,,SN000173
XV000233,nqn,Är gbres är kmangre aba ymängaran ämb ebep yao baba nowabte sermban.,,,Everyone was asleep and noone was talking during the night.,,,SN000174 ; SN000344
XV000234,nqn,Ämb ebep yao mete ym yna yam.,,,Noone understands this problem.,,,SN000174
XV000235,nqn,Ämb nenp yao ym dusét?,,,Is there nothing to cook?,,,SN000175
XV000236,nqn,Ämb paep yao ym.,,,There is nowhere.,,,SN000176
XV000237,nqn,Bä ämbs rrs nant.,,,They are growing the same height.,,,SN000178
XV000238,nqn,ämb sabat tesdi,,,"next Thursday, Thursday of next week",,,SN000179
XV000239,nqn,Ämb serpap yao ym.,,,There is no space here.,,,SN000180
XV000240,nqn,Ämb kmangre serpap yao ym.,,,There is no place to sleep here.,,,SN000180
XV000241,nqn,Qbrände ämbwidmata mng̅ dnzron,,,(This) was Qbr's last house.,,,SN000182
XV000242,nqn,"Ämb widmata yergb ynane ym, Kakma Bene Pap.",,,"That's the last creek, at Kakma Bene Pap.",,,SN000182
XV000243,nqn,"Ämb widmatas anu bä numbnan tande anu papn, poa yao.",,,I'm bathing for the last time in my bathing place.,,,SN000182
XV000244,nqn,G̅énzer kp ba ämbämbis yngzrman Mozbit.,,,He took off to Port Moresby with the money for good.,,,SN000184
XV000245,nqn,Ämbämbis ti!,,,Plant it for good (it will grow here)!,,,SN000184
XV000246,nqn,Kae ämber má iparse niparnda endn.,,,Yesterday someone just suddenly appeared on the road.,,,SN000187
XV000247,nqn,Bm nen ämbärba nugta yängren?,,,Is anyone going with you to get water?,,,SN000187
XV000248,nqn,ӓmbӓr yna bӓte ym.,,,There is somebody here.,,,SN000187
XV000249,nqn,Ämbrors powangama Sibaba Yaga Gopapt nowanda.,,,"After quarrelling with Siba, Yaga left for Gubam.",,,SN000190
XV000250,nqn,"Denemne kiemb btkam dengpitawt ge dnamtanganz dpinganz, gtäte denetawa tngamtawt dene ya buderäba ge gämbrort, gte awañs ä dnzron dene bä gawañt ""bm snamb kemb tngäbäte?"" dämbronawn",,,"When people shot a pig they would put the pig-jaw up high (in a tree fork, so that later on, they would keep them like that until if they quarrel with a friend, until when someone would put him down, they wold challenge each other: ""how many pigs have you shot?""",,,SN000190
XV000251,nqn,Togetoge ämbrres yaowaete wawapaps mng̅ kunzt.,,,The children are all following each other in line into the school building.,,,SN000191
XV000252,nqn,ӓmbs dmab nowabte.,,,One woman is talking.,,,SN000192
XV000253,nqn,sombes pus ämbs kp,,,thirteen,,,SN000192
XV000254,nqn,Ämb denengamap yao ymn.,,,There is no way of doing it.,,,SN000193
XV000255,nqn,Tande ӓmbs pus togetoge yngm.,,,I have six children.,,,SN000194
XV000256,nqn,ämbs pus ämbs,,,seven,,,SN000194
XV000257,nqn,Mlegmlegäm togetoge ämbsämbsae tnggnetat.,,,"Each girl kissed one boy, the girls kissed one boy each.",,,SN000196
XV000258,nqn,Ämbsnepna yuwat niparwe plen gte niwiwi yutane.,,,A void appeared beneath and the plane plunged down.,,,SN000197
XV000259,nqn,Ynd ӓmbygn te yiwingowen.,,,I saw them last year.,,,SN000198
XV000260,nqn,Ynd ӓmbyégén bӓ giwing̅am.,,,We'll see each other next year.,,,SN000198
XV000261,nqn,Ynd bӓ ding̅ngn ӓmbygn.,,,I'll find it next year.,,,SN000198 ; SN005349
XV000262,nqn,Yna powangama gtes ӓte dépnét band kunzn ӓmbӓmbis.,,,Then after that they would bury him in the ground forever.,,,SN000200 ; SN005430
XV000263,nqn,Bm ӓmewan kamnz! Mer ym bӓ ӓmewan gamnzngn.,,,"You sit on the mat! Yes, I'll sit on the mat.",,,SN000201
XV000264,nqn,Ynd ӓme yétrnan.,,,I'm scratching the mat.,,,SN000201
XV000265,nqn,Ynd ӓme yuwitan.,,,I am throwing one mat,,,SN000201
